code,nom,departement,surface_ha,foret_ha,taux_boisement,score,total_perturb_ha,taux_coupe_annuel
01087,Charix,01,1858.573,1426.152,76.734,C,24.11,0.218
01088,Charnoz-sur-Ain,01,661.006,130.323,19.716,D,1.46,0.145
01089,Château-Gaillard,01,1612.173,195.444,12.123,D,4.45,0.294
01090,Châtenay,01,1519.275,382.303,25.164,D,19.69,0.665
01091,,,3772.447,2494.067,66.113,E,5958.15,30.825
01092,Châtillon-la-Palud,01,1408.748,668.169,47.43,D,38.83,0.75
01093,Châtillon-sur-Chalaronne,01,1797.987,53.682,2.986,E,8.1,1.947
01094,Chavannes-sur-Reyssouze,01,1653.438,191.352,11.573,D,6.48,0.437
01095,Nivigne et Suran,01,3115.803,1781.273,57.169,B,25.35,0.184
01096,Chaveyriat,01,1685.943,294.219,17.451,D,4.51,0.198
01097,,,782.922,413.888,52.865,E,1578.84,49.221
01098,Chazey-Bons,01,1553.666,754.616,48.57,C,13.28,0.227
01099,Chazey-sur-Ain,01,2212.114,400.143,18.089,D,1.32,0.043
01100,Cheignieu-la-Balme,01,589.649,427.782,72.549,A,2.77,0.084
01101,Chevillard,01,666.087,428.689,64.359,C,9.38,0.282
01102,Chevroux,01,1727.437,239.569,13.868,D,10.24,0.552
01103,Chevry,01,579.998,114.719,19.779,D,0.0,0.0
01104,Chézery-Forens,01,4642.404,3507.104,75.545,A,19.87,0.073
01105,Civrieux,01,2017.081,233.537,11.578,D,13.89,0.767
01106,Cize,01,451.153,225.561,49.997,B,0.56,0.032
01107,Cleyzieu,01,766.479,459.567,59.958,B,2.18,0.061
01108,Coligny,01,1681.832,642.024,38.174,C,10.19,0.205
01109,Collonges,01,1621.022,867.021,53.486,B,0.77,0.011
01110,Colomieu,01,586.721,338.036,57.614,B,3.12,0.119
01111,Conand,01,1528.407,1215.695,79.54,B,16.12,0.171
01112,Condamine,01,449.941,270.918,60.212,C,9.59,0.457
01113,Condeissiat,01,2172.834,279.259,12.852,D,8.26,0.382
01114,Confort,01,1125.409,638.663,56.749,B,2.2,0.044
01115,Confrançon,01,1815.677,186.981,10.298,D,6.86,0.473
01116,Contrevoz,01,1426.954,828.836,58.084,B,5.58,0.087
01117,Conzieu,01,710.44,475.616,66.947,C,8.61,0.234
01118,Corbonod,01,3201.726,2118.306,66.161,B,18.13,0.11
01121,Corlier,01,557.975,337.056,60.407,D,23.46,0.898
01122,,,1895.411,1216.592,64.186,E,2832.96,30.046
01123,Cormoranche-sur-Saône,01,993.56,291.158,29.305,E,81.68,3.62
01124,Cormoz,01,1961.366,311.031,15.858,D,6.61,0.274
01125,Corveissiat,01,2294.159,1210.476,52.763,B,11.48,0.122
01127,Courmangoux,01,1504.66,597.561,39.714,C,15.08,0.326
01128,Courtes,01,896.514,128.317,14.313,D,5.16,0.519
01129,Crans,01,1323.83,580.427,43.845,C,16.87,0.375
01130,Bresse Vallons,01,1385.469,191.21,13.801,D,4.87,0.329
01133,Cressin-Rochefort,01,772.86,353.752,45.772,D,27.33,0.997
01134,Crottet,01,1221.897,145.432,11.902,E,29.4,2.608
01135,Crozet,01,2717.747,1234.532,45.425,B,2.41,0.025
01136,Cruzilles-lès-Mépillat,01,1191.249,52.338,4.394,E,10.29,2.537
01138,Culoz-Béon,01,1913.615,997.139,52.108,B,15.35,0.199
01139,Curciat-Dongalon,01,2398.863,195.716,8.159,E,6.57,0.433
01140,Curtafond,01,1273.547,253.277,19.887,D,12.16,0.619
01141,Cuzieu,01,484.84,206.462,42.584,B,0.0,0.0
01142,Dagneux,01,686.654,119.557,17.412,D,0.0,0.0
01143,Divonne-les-Bains,01,3372.7,1782.311,52.845,B,3.71,0.027
01145,Dompierre-sur-Veyle,01,2911.241,828.514,28.459,D,37.41,0.583
01146,Dompierre-sur-Chalaronne,01,470.987,55.152,11.71,D,3.69,0.863
01147,Domsure,01,1521.685,293.356,19.278,D,5.71,0.251
01148,Dortan,01,1877.397,1104.876,58.851,B,12.2,0.142
01149,Douvres,01,522.519,230.577,44.128,C,5.19,0.29
01150,Drom,01,785.303,396.922,50.544,B,3.04,0.099
01151,Druillat,01,2080.173,784.008,37.69,D,35.99,0.592
01152,Échallon,01,2806.802,2197.407,78.289,C,72.79,0.427
01153,Échenevex,01,1647.044,597.064,36.251,C,0.14,0.003
01154,,,1225.705,279.384,22.794,E,1892.0,87.381
01155,Évosges,01,1197.517,607.971,50.769,C,22.64,0.48
01156,Faramans,01,1118.685,229.662,20.53,C,4.66,0.262
01157,Fareins,01,828.743,59.15,7.137,E,1.29,0.281
01158,Farges,01,1425.595,956.769,67.114,A,5.29,0.071
01159,Feillens,01,1486.01,160.829,10.823,D,3.94,0.316
01160,Ferney-Voltaire,01,477.762,87.724,18.361,D,1.41,0.207
01162,Flaxieu,01,293.199,118.469,40.405,C,3.08,0.335
01163,Foissiat,01,4029.311,575.644,14.286,D,7.54,0.169
01165,Francheleins,01,1360.556,39.674,2.916,E,5.57,1.812
01166,Frans,01,807.243,21.646,2.681,E,0.72,0.429
01167,Garnerans,01,864.75,110.181,12.741,E,13.21,1.547
01169,Genouilleux,01,410.478,26.978,6.572,E,0.6,0.287
01170,Béard-Géovreissiat,01,463.048,204.988,44.269,D,14.36,0.904
01171,Géovreisset,01,324.454,224.831,69.295,D,9.77,0.561
01173,Gex,01,3188.878,2029.638,63.647,A,7.26,0.046
01174,Giron,01,939.291,654.247,69.653,D,28.71,0.566
01175,Gorrevod,01,686.944,89.21,12.986,E,8.43,1.219
01177,Grand-Corent,01,703.059,513.151,72.988,A,2.08,0.052
01179,Grièges,01,1474.809,188.942,12.811,E,44.47,3.037
01180,Grilly,01,749.155,185.653,24.782,C,0.0,0.0
01181,Groissiat,01,618.901,351.456,56.787,C,12.24,0.449
01183,Guéreins,01,441.219,61.32,13.898,E,7.28,1.532
01184,Hautecourt-Romanèche,01,2137.697,1150.491,53.819,B,4.55,0.051
01185,Plateau d'Hauteville,01,5064.068,3212.254,63.432,D,179.67,0.722
01186,,,1024.701,681.673,66.524,E,1689.95,31.989
01187,Haut Valromey,01,10767.026,6363.714,59.104,C,164.96,0.334
01188,Illiat,01,2050.287,411.077,20.05,D,24.63,0.773
01189,Injoux-Génissiat,01,2959.841,1724.475,58.262,C,35.6,0.266
01190,Innimond,01,1327.385,743.566,56.017,C,18.4,0.319
01191,Izenave,01,1307.829,873.701,66.805,D,42.67,0.63
01192,Izernore,01,2133.939,978.405,45.85,D,57.22,0.755
01193,Izieu,01,772.946,512.65,66.324,A,0.0,0.0
01194,Jassans-Riottier,01,504.186,46.972,9.316,E,0.52,0.143
01195,Jasseron,01,1886.644,1004.365,53.236,B,5.53,0.071
01196,Jayat,01,1628.657,39.744,2.44,E,5.46,1.773
01197,Journans,01,242.796,127.304,52.433,B,1.48,0.15
01198,Joyeux,01,1657.115,371.738,22.433,C,12.77,0.443
01199,Jujurieux,01,1551.456,774.374,49.913,B,6.68,0.111
01200,Labalme,01,884.76,707.714,79.989,D,64.53,1.177
01202,Lagnieu,01,2735.029,985.17,36.02,C,25.65,0.336
01203,Laiz,01,1023.57,25.826,2.523,E,6.97,3.482
01204,Le Poizat-Lalleyriat,01,3313.998,2594.926,78.302,C,59.95,0.298
